id,name,brand,color,storage,price,image,features
1,iPhone 15 Pro,Apple,Silver,128GB,1199,/images/iphone15pro.png,"5G;48MP Camera;ProRAW;A17 Chip;Face ID"
2,iPhone 15,Apple,Blue,128GB,999,/images/iphone15.png,"5G;Dual Camera;A16 Chip;Face ID"
3,iPhone SE,Apple,Black,64GB,499,/images/iphonese.png,"4G;Touch ID;A15 Chip;Water Resistant"
4,Galaxy S24 Ultra,Samsung,Black,512GB,1399,/images/s24ultra.png,"5G;200MP Camera;S Pen;AI Features;8K Video"
5,Galaxy S24,Samsung,Graphite,256GB,899,/images/galaxys24.png,"5G;50MP Camera;AI Features;Dynamic AMOLED"
6,Galaxy A54,Samsung,White,128GB,499,/images/galaxya54.png,"5G;50MP Camera;Super AMOLED;Water Resistant"
7,Pixel 8 Pro,Google,Obsidian,256GB,999,/images/pixel8pro.png,"5G;50MP Camera;Magic Eraser;Pure Android;7-year updates"
8,Pixel 8,Google,Mint,128GB,799,/images/pixel8.png,"5G;Magic Eraser;Pure Android;Tensor G3"
9,Pixel 7a,Google,Charcoal,128GB,499,/images/pixel7a.png,"5G;64MP Camera;Pure Android;Affordable"
10,Xiaomi 14,Xiaomi,Black,256GB,899,/images/xiaomi14.png,"5G;Leica Camera;Snapdragon 8 Gen 3;Fast Charging"
11,Xiaomi Redmi Note 13,Xiaomi,Green,128GB,349,/images/redminote13.png,"5G;108MP Camera;Budget Friendly;AMOLED"
12,OnePlus 12,OnePlus,Emerald,256GB,899,/images/oneplus12.png,"5G;50MP Camera;Hasselblad;100W Fast Charging;Snapdragon 8 Gen 3"
13,Nothing Phone 2,Nothing,White,256GB,699,/images/nothingphone2.png,"5G;Glyph Interface;Clean Design;50MP Camera"
14,Motorola Edge 40,Motorola,Black,128GB,599,/images/edge40.png,"5G;50MP Camera;Water Resistant;Clean Android"
15,Sony Xperia 1 V,Sony,Black,256GB,1299,/images/xperia1v.png,"5G;4K Display;Pro Camera;3.5mm Headphone Jack"
